product_id,product_name,category,price,stock_quantity,reorder_level,supplier_id
P00001,Product B1,Apparel,900.24,882,33,S0360
P00002,Product C2,Toys,363.31,133,28,S0875
P00003,Product D3,Toys,105.05,419,40,S0671
P00004,Product E4,Electronics,641.82,469,10,S0663
P00005,Product F5,Apparel,473.49,651,22,S0263
P00006,Product G6,Home,464.91,982,31,S0533
P00007,Product H7,Toys,764.75,325,41,S0085
P00008,Product I8,Toys,40.99,640,13,S0679
P00009,Product J9,Apparel,510.05,736,43,S0570
P00010,Product K10,Books,390.8,959,22,S0118
P00011,Product L11,Books,864.96,81,24,S0010
P00012,Product M12,Books,248.25,296,39,S0616
P00013,Product N13,Home,32.16,95,14,S0158
P00014,Product O14,Home,586.87,50,48,S0186
P00015,Product P15,Apparel,939.83,349,29,S0836
P00016,Product Q16,Books,669.59,715,29,S0208
P00017,Product R17,Electronics,964.54,890,26,S0575
P00018,Product S18,Apparel,475.99,560,15,S0072
P00019,Product T19,Toys,589.18,282,18,S0034
P00020,Product U20,Toys,379.0,360,38,S0888
P00021,Product V21,Toys,296.15,370,35,S0294
P00022,Product W22,Electronics,484.49,267,44,S0769
P00023,Product X23,Toys,502.34,489,37,S0768
P00024,Product Y24,Apparel,61.47,582,23,S0310
P00025,Product Z25,Home,154.86,391,18,S0365
P00026,Product A26,Apparel,433.37,141,48,S0259
P00027,Product B27,Home,694.62,427,25,S0048
P00028,Product C28,Home,489.65,446,14,S0843
P00029,Product D29,Apparel,79.33,369,15,S0618
P00030,Product E30,Toys,233.01,184,22,S0172
P00031,Product F31,Toys,803.27,415,31,S0122
P00032,Product G32,Home,664.16,604,33,S0786
P00033,Product H33,Electronics,119.25,358,19,S0125
P00034,Product I34,Apparel,293.63,368,36,S0480
P00035,Product J35,Toys,276.38,964,34,S0550
P00036,Product K36,Home,382.46,152,16,S0305
P00037,Product L37,Electronics,514.93,355,43,S0243
P00038,Product M38,Toys,340.04,658,40,S0001
P00039,Product N39,Toys,644.0,765,23,S0758
P00040,Product O40,Electronics,987.26,721,34,S0138
P00041,Product P41,Books,852.37,266,26,S0429
P00042,Product Q42,Apparel,277.11,725,41,S0053
P00043,Product R43,Home,421.59,522,30,S0522
P00044,Product S44,Apparel,277.31,674,12,S0235
P00045,Product T45,Home,494.43,989,46,S0008
P00046,Product U46,Toys,117.93,616,33,S0746
P00047,Product V47,Toys,145.07,145,47,S0037
P00048,Product W48,Toys,285.44,868,14,S0035
P00049,Product X49,Apparel,246.93,968,30,S0482
P00050,Product Y50,Home,366.74,141,39,S0702
P00051,Product Z51,Books,401.59,352,21,S0827
P00052,Product A52,Electronics,151.31,916,49,S0400
P00053,Product B53,Home,582.01,1000,31,S0024
P00054,Product C54,Books,18.2,352,21,S0786
