supplier_id,supplier_name,contact_details,region
S0001,"Alexander, Curry and Young",715.344.7080x5241,East
S0002,"Nelson, Garrett and Carroll",(508)393-3849x725,West
S0003,"Pace, Hudson and Edwards",585-204-4295,Central
S0004,"Whitaker, Miller and Graham",639-227-7819x834,Central
S0005,"Patel, Hodges and Williams",+1-744-814-2496x049,Central
S0006,Moyer-Greene,725-293-2883x762,West
S0007,Rodriguez-Smith,549.850.9644x1431,Central
S0008,"Reed, Johnson and Morgan",001-694-579-4001x9722,South
S0009,Calderon Ltd,001-431-342-2660x858,East
S0010,"Nash, Johnson and Williams",502-394-0179x805,West
S0011,Hart Inc,(308)266-8247,East
S0012,Riley Inc,(923)746-4083x221,East
S0013,Johnson and Sons,(288)470-6695,South
S0014,Morris LLC,559.210.4122,West
S0015,Camacho-Hill,901.769.1001x01939,West
S0016,"Herrera, Payne and Allison",001-937-669-7664x7909,North
S0017,Hernandez LLC,001-619-977-3406x908,East
S0018,Harrison Inc,238.982.6684x438,West
S0019,Nguyen PLC,749-475-8518,North
S0020,Cruz Group,001-792-874-3779,East
S0021,Roberts-Pierce,(224)421-2930,East
S0022,Nelson-Meyer,957.667.0703,North
S0023,"Keith, Harrell and Hawkins",+1-400-420-5907x410,Central
S0024,"Howard, Morgan and Kemp",640-549-7300x017,North
S0025,Hill PLC,001-670-405-0553,East
S0026,Lee-Wilson,(375)687-7204x4990,Central
S0027,Anderson-Anderson,+1-318-733-0396,South
S0028,Howe-Ramirez,(658)854-4781x8548,West
S0029,"Anderson, Griffith and Reid",274-631-6929x9671,West
S0030,"Walker, Ramos and Roach",596.267.0035x55404,South
S0031,Meyer and Sons,001-608-465-6738x729,East
S0032,"Vaughn, Lee and Ryan",283-628-1856,Central
S0033,Mckay-Campbell,956.693.4192x38781,South
S0034,Gonzalez LLC,+1-375-913-7830x9949,East
S0035,"Rogers, Vaughn and Pena",305-394-3841,Central
S0036,"Newman, Douglas and Gordon",001-476-298-2367x4706,North
S0037,"Nichols, Wilson and Moyer",701-325-9172,West
S0038,Foster LLC,478-716-6503x8866,West
S0039,Rubio-White,424.723.5128x04801,South
S0040,Mitchell Inc,804-254-6095,South
S0041,Johnson Inc,680-942-0303,South
S0042,Adams Inc,725-341-5011,North
S0043,Williams PLC,684.916.8085x91067,East
S0044,Morse PLC,(871)690-4779,West
S0045,"Scott, Morrison and Garcia",001-422-659-2885x39524,North
S0046,Walker Inc,(830)332-4153x392,West
